Passengers	Year	Month	Year Numeric	Year since 1990	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
846833	1995	12	1995.916667	5.9166670	0	0	0	0	0	0	0	0	0	0	1
726630	1996	1	1996	6	0	0	0	0	0	0	0	0	0	0	0
731582	1996	2	1996.083333	6.0833330	1	0	0	0	0	0	0	0	0	0	0
823312	1996	3	1996.166667	6.1666670	0	1	0	0	0	0	0	0	0	0	0
827306	1996	4	1996.25	6.2500000	0	0	1	0	0	0	0	0	0	0	0
851089	1996	5	1996.333333	6.3333330	0	0	0	1	0	0	0	0	0	0	0
828905	1996	6	1996.416667	6.4166670	0	0	0	0	1	0	0	0	0	0	0
822492	1996	7	1996.5	6.5000000	0	0	0	0	0	1	0	0	0	0	0
939342	1996	8	1996.583333	6.5833330	0	0	0	0	0	0	1	0	0	0	0
828348	1996	9	1996.666667	6.6666670	0	0	0	0	0	0	0	1	0	0	0
822289	1996	10	1996.75	6.7500000	0	0	0	0	0	0	0	0	1	0	0
729883	1996	11	1996.833333	6.8333330	0	0	0	0	0	0	0	0	0	1	0
803681	1996	12	1996.916667	6.9166670	0	0	0	0	0	0	0	0	0	0	1
725727	1997	1	1997	7	0	0	0	0	0	0	0	0	0	0	0
653038	1997	2	1997.083333	7.0833330	1	0	0	0	0	0	0	0	0	0	0
745798	1997	3	1997.166667	7.1666670	0	1	0	0	0	0	0	0	0	0	0
718150	1997	4	1997.25	7.2500000	0	0	1	0	0	0	0	0	0	0	0
781158	1997	5	1997.333333	7.3333330	0	0	0	1	0	0	0	0	0	0	0
795127	1997	6	1997.416667	7.4166670	0	0	0	0	1	0	0	0	0	0	0
819281	1997	7	1997.5	7.5000000	0	0	0	0	0	1	0	0	0	0	0
897085	1997	8	1997.583333	7.5833330	0	0	0	0	0	0	1	0	0	0	0
738083	1997	9	1997.666667	7.6666670	0	0	0	0	0	0	0	1	0	0	0
764115	1997	10	1997.75	7.7500000	0	0	0	0	0	0	0	0	1	0	0
760021	1997	11	1997.833333	7.8333330	0	0	0	0	0	0	0	0	0	1	0
747223	1997	12	1997.916667	7.9166670	0	0	0	0	0	0	0	0	0	0	1
649441	1998	1	1998	8	0	0	0	0	0	0	0	0	0	0	0
646388	1998	2	1998.083333	8.0833330	1	0	0	0	0	0	0	0	0	0	0
751903	1998	3	1998.166667	8.1666670	0	1	0	0	0	0	0	0	0	0	0
771455	1998	4	1998.25	8.2500000	0	0	1	0	0	0	0	0	0	0	0
804696	1998	5	1998.333333	8.3333330	0	0	0	1	0	0	0	0	0	0	0
817789	1998	6	1998.416667	8.4166670	0	0	0	0	1	0	0	0	0	0	0
834326	1998	7	1998.5	8.5000000	0	0	0	0	0	1	0	0	0	0	0
882187	1998	8	1998.583333	8.5833330	0	0	0	0	0	0	1	0	0	0	0
758714	1998	9	1998.666667	8.6666670	0	0	0	0	0	0	0	1	0	0	0
769816	1998	10	1998.75	8.7500000	0	0	0	0	0	0	0	0	1	0	0
770993	1998	11	1998.833333	8.8333330	0	0	0	0	0	0	0	0	0	1	0
773845	1998	12	1998.916667	8.9166670	0	0	0	0	0	0	0	0	0	0	1
690073	1999	1	1999	9	0	0	0	0	0	0	0	0	0	0	0
698621	1999	2	1999.083333	9.0833330	1	0	0	0	0	0	0	0	0	0	0
809801	1999	3	1999.166667	9.1666670	0	1	0	0	0	0	0	0	0	0	0
829614	1999	4	1999.25	9.2500000	0	0	1	0	0	0	0	0	0	0	0
846391	1999	5	1999.333333	9.3333330	0	0	0	1	0	0	0	0	0	0	0
858985	1999	6	1999.416667	9.4166670	0	0	0	0	1	0	0	0	0	0	0
892736	1999	7	1999.5	9.5000000	0	0	0	0	0	1	0	0	0	0	0
942458	1999	8	1999.583333	9.5833330	0	0	0	0	0	0	1	0	0	0	0
806481	1999	9	1999.666667	9.6666670	0	0	0	0	0	0	0	1	0	0	0
857422	1999	10	1999.75	9.7500000	0	0	0	0	0	0	0	0	1	0	0
847199	1999	11	1999.833333	9.8333330	0	0	0	0	0	0	0	0	0	1	0
799737	1999	12	1999.916667	9.9166670	0	0	0	0	0	0	0	0	0	0	1
729669	2000	1	2000	10	0	0	0	0	0	0	0	0	0	0	0
757506	2000	2	2000.083333	10.083333	1	0	0	0	0	0	0	0	0	0	0
842180	2000	3	2000.166667	10.166667	0	1	0	0	0	0	0	0	0	0	0
867809	2000	4	2000.25	10.250000	0	0	1	0	0	0	0	0	0	0	0
891146	2000	5	2000.333333	10.333333	0	0	0	1	0	0	0	0	0	0	0
931048	2000	6	2000.416667	10.416667	0	0	0	0	1	0	0	0	0	0	0
960355	2000	7	2000.5	10.500000	0	0	0	0	0	1	0	0	0	0	0
1013726	2000	8	2000.583333	10.583333	0	0	0	0	0	0	1	0	0	0	0
882534	2000	9	2000.666667	10.666667	0	0	0	0	0	0	0	1	0	0	0
929831	2000	10	2000.75	10.750000	0	0	0	0	0	0	0	0	1	0	0
914716	2000	11	2000.833333	10.833333	0	0	0	0	0	0	0	0	0	1	0
900278	2000	12	2000.916667	10.916667	0	0	0	0	0	0	0	0	0	0	1
844497	2001	1	2001	11	0	0	0	0	0	0	0	0	0	0	0
793708	2001	2	2001.083333	11.083333	1	0	0	0	0	0	0	0	0	0	0
974903	2001	3	2001.166667	11.166667	0	1	0	0	0	0	0	0	0	0	0
1010985	2001	4	2001.25	11.250000	0	0	1	0	0	0	0	0	0	0	0
1034431	2001	5	2001.333333	11.333333	0	0	0	1	0	0	0	0	0	0	0
1096770	2001	6	2001.416667	11.416667	0	0	0	0	1	0	0	0	0	0	0
1144485	2001	7	2001.5	11.500000	0	0	0	0	0	1	0	0	0	0	0
1205921	2001	8	2001.583333	11.583333	0	0	0	0	0	0	1	0	0	0	0
676551	2001	9	2001.666667	11.666667	0	0	0	0	0	0	0	1	0	0	0
885680	2001	10	2001.75	11.750000	0	0	0	0	0	0	0	0	1	0	0
877990	2001	11	2001.833333	11.833333	0	0	0	0	0	0	0	0	0	1	0
870658	2001	12	2001.916667	11.916667	0	0	0	0	0	0	0	0	0	0	1
838343	2002	1	2002	12	0	0	0	0	0	0	0	0	0	0	0
797153	2002	2	2002.083333	12.083333	1	0	0	0	0	0	0	0	0	0	0
973479	2002	3	2002.166667	12.166667	0	1	0	0	0	0	0	0	0	0	0
1000269	2002	4	2002.25	12.250000	0	0	1	0	0	0	0	0	0	0	0
1081405	2002	5	2002.333333	12.333333	0	0	0	1	0	0	0	0	0	0	0
1136052	2002	6	2002.416667	12.416667	0	0	0	0	1	0	0	0	0	0	0
1161236	2002	7	2002.5	12.500000	0	0	0	0	0	1	0	0	0	0	0
1284044	2002	8	2002.583333	12.583333	0	0	0	0	0	0	1	0	0	0	0
1047201	2002	9	2002.666667	12.666667	0	0	0	0	0	0	0	1	0	0	0
1112269	2002	10	2002.75	12.750000	0	0	0	0	0	0	0	0	1	0	0
1062840	2002	11	2002.833333	12.833333	0	0	0	0	0	0	0	0	0	1	0
1140614	2002	12	2002.916667	12.916667	0	0	0	0	0	0	0	0	0	0	1
1022609	2003	1	2003	13	0	0	0	0	0	0	0	0	0	0	0
940305	2003	2	2003.083333	13.083333	1	0	0	0	0	0	0	0	0	0	0
1055701	2003	3	2003.166667	13.166667	0	1	0	0	0	0	0	0	0	0	0
1068668	2003	4	2003.25	13.250000	0	0	1	0	0	0	0	0	0	0	0
1148742	2003	5	2003.333333	13.333333	0	0	0	1	0	0	0	0	0	0	0
1219386	2003	6	2003.416667	13.416667	0	0	0	0	1	0	0	0	0	0	0
1298741	2003	7	2003.5	13.500000	0	0	0	0	0	1	0	0	0	0	0
1320196	2003	8	2003.583333	13.583333	0	0	0	0	0	0	1	0	0	0	0
1081156	2003	9	2003.666667	13.666667	0	0	0	0	0	0	0	1	0	0	0
1149515	2003	10	2003.75	13.750000	0	0	0	0	0	0	0	0	1	0	0
1109733	2003	11	2003.833333	13.833333	0	0	0	0	0	0	0	0	0	1	0
1133611	2003	12	2003.916667	13.916667	0	0	0	0	0	0	0	0	0	0	1
984729	2004	1	2004	14	0	0	0	0	0	0	0	0	0	0	0
989779	2004	2	2004.083333	14.083333	1	0	0	0	0	0	0	0	0	0	0
1138801	2004	3	2004.166667	14.166667	0	1	0	0	0	0	0	0	0	0	0
1191234	2004	4	2004.25	14.250000	0	0	1	0	0	0	0	0	0	0	0
1204232	2004	5	2004.333333	14.333333	0	0	0	1	0	0	0	0	0	0	0
1295198	2004	6	2004.416667	14.416667	0	0	0	0	1	0	0	0	0	0	0
1342773	2004	7	2004.5	14.500000	0	0	0	0	0	1	0	0	0	0	0
1356100	2004	8	2004.583333	14.583333	0	0	0	0	0	0	1	0	0	0	0
1108418	2004	9	2004.666667	14.666667	0	0	0	0	0	0	0	1	0	0	0
1191259	2004	10	2004.75	14.750000	0	0	0	0	0	0	0	0	1	0	0
1149876	2004	11	2004.833333	14.833333	0	0	0	0	0	0	0	0	0	1	0
1145928	2004	12	2004.916667	14.916667	0	0	0	0	0	0	0	0	0	0	1
1036080	2005	1	2005	15	0	0	0	0	0	0	0	0	0	0	0
1007775	2005	2	2005.083333	15.083333	1	0	0	0	0	0	0	0	0	0	0
1227345	2005	3	2005.166667	15.166667	0	1	0	0	0	0	0	0	0	0	0
1171402	2005	4	2005.25	15.250000	0	0	1	0	0	0	0	0	0	0	0
1259784	2005	5	2005.333333	15.333333	0	0	0	1	0	0	0	0	0	0	0
1309569	2005	6	2005.416667	15.416667	0	0	0	0	1	0	0	0	0	0	0
1388601	2005	7	2005.5	15.500000	0	0	0	0	0	1	0	0	0	0	0
1385783	2005	8	2005.583333	15.583333	0	0	0	0	0	0	1	0	0	0	0
1169244	2005	9	2005.666667	15.666667	0	0	0	0	0	0	0	1	0	0	0
1188663	2005	10	2005.75	15.750000	0	0	0	0	0	0	0	0	1	0	0
1144490	2005	11	2005.833333	15.833333	0	0	0	0	0	0	0	0	0	1	0
1128839	2005	12	2005.916667	15.916667	0	0	0	0	0	0	0	0	0	0	1
1027963	2006	1	2006	16	0	0	0	0	0	0	0	0	0	0	0
995196	2006	2	2006.083333	16.083333	1	0	0	0	0	0	0	0	0	0	0
1182653	2006	3	2006.166667	16.166667	0	1	0	0	0	0	0	0	0	0	0
1198512	2006	4	2006.25	16.250000	0	0	1	0	0	0	0	0	0	0	0
1235532	2006	5	2006.333333	16.333333	0	0	0	1	0	0	0	0	0	0	0
1323017	2006	6	2006.416667	16.416667	0	0	0	0	1	0	0	0	0	0	0
1326769	2006	7	2006.5	16.500000	0	0	0	0	0	1	0	0	0	0	0
1362499	2006	8	2006.583333	16.583333	0	0	0	0	0	0	1	0	0	0	0
1151885	2006	9	2006.666667	16.666667	0	0	0	0	0	0	0	1	0	0	0
1235980	2006	10	2006.75	16.750000	0	0	0	0	0	0	0	0	1	0	0
1199444	2006	11	2006.833333	16.833333	0	0	0	0	0	0	0	0	0	1	0
1194219	2006	12	2006.916667	16.916667	0	0	0	0	0	0	0	0	0	0	1
1058319	2007	1	2007	17	0	0	0	0	0	0	0	0	0	0	0
1012664	2007	2	2007.083333	17.083333	1	0	0	0	0	0	0	0	0	0	0
1188511	2007	3	2007.166667	17.166667	0	1	0	0	0	0	0	0	0	0	0
1224491	2007	4	2007.25	17.250000	0	0	1	0	0	0	0	0	0	0	0
1234736	2007	5	2007.333333	17.333333	0	0	0	1	0	0	0	0	0	0	0
1344308	2007	6	2007.416667	17.416667	0	0	0	0	1	0	0	0	0	0	0
1426161	2007	7	2007.5	17.500000	0	0	0	0	0	1	0	0	0	0	0
1465539	2007	8	2007.583333	17.583333	0	0	0	0	0	0	1	0	0	0	0
1171306	2007	9	2007.666667	17.666667	0	0	0	0	0	0	0	1	0	0	0
1194720	2007	10	2007.75	17.750000	0	0	0	0	0	0	0	0	1	0	0
1161746	2007	11	2007.833333	17.833333	0	0	0	0	0	0	0	0	0	1	0
1130988	2007	12	2007.916667	17.916667	0	0	0	0	0	0	0	0	0	0	1
991486	2008	1	2008	18	0	0	0	0	0	0	0	0	0	0	0
953677	2008	2	2008.083333	18.083333	1	0	0	0	0	0	0	0	0	0	0
1118886	2008	3	2008.166667	18.166667	0	1	0	0	0	0	0	0	0	0	0
956753	2008	4	2008.25	18.250000	0	0	1	0	0	0	0	0	0	0	0
1006429	2008	5	2008.333333	18.333333	0	0	0	1	0	0	0	0	0	0	0
1049339	2008	6	2008.416667	18.416667	0	0	0	0	1	0	0	0	0	0	0
1056963	2008	7	2008.5	18.500000	0	0	0	0	0	1	0	0	0	0	0
1069670	2008	8	2008.583333	18.583333	0	0	0	0	0	0	1	0	0	0	0
829001	2008	9	2008.666667	18.666667	0	0	0	0	0	0	0	1	0	0	0
873196	2008	10	2008.75	18.750000	0	0	0	0	0	0	0	0	1	0	0
771303	2008	11	2008.833333	18.833333	0	0	0	0	0	0	0	0	0	1	0
797753	2008	12	2008.916667	18.916667	0	0	0	0	0	0	0	0	0	0	1
665909	2009	1	2009	19	0	0	0	0	0	0	0	0	0	0	0
654010	2009	2	2009.083333	19.083333	1	0	0	0	0	0	0	0	0	0	0
766348	2009	3	2009.166667	19.166667	0	1	0	0	0	0	0	0	0	0	0
793354	2009	4	2009.25	19.250000	0	0	1	0	0	0	0	0	0	0	0
795484	2009	5	2009.333333	19.333333	0	0	0	1	0	0	0	0	0	0	0
850794	2009	6	2009.416667	19.416667	0	0	0	0	1	0	0	0	0	0	0
881551	2009	7	2009.5	19.500000	0	0	0	0	0	1	0	0	0	0	0
878296	2009	8	2009.583333	19.583333	0	0	0	0	0	0	1	0	0	0	0
781428	2009	9	2009.666667	19.666667	0	0	0	0	0	0	0	1	0	0	0
836536	2009	10	2009.75	19.750000	0	0	0	0	0	0	0	0	1	0	0
785342	2009	11	2009.833333	19.833333	0	0	0	0	0	0	0	0	0	1	0
816229	2009	12	2009.916667	19.916667	0	0	0	0	0	0	0	0	0	0	1
712639	2010	1	2010	20	0	0	0	0	0	0	0	0	0	0	0
648044	2010	2	2010.083333	20.083333	1	0	0	0	0	0	0	0	0	0	0
781414	2010	3	2010.166667	20.166667	0	1	0	0	0	0	0	0	0	0	0
778865	2010	4	2010.25	20.250000	0	0	1	0	0	0	0	0	0	0	0
792823	2010	5	2010.333333	20.333333	0	0	0	1	0	0	0	0	0	0	0
865008	2010	6	2010.416667	20.416667	0	0	0	0	1	0	0	0	0	0	0
884639	2010	7	2010.5	20.500000	0	0	0	0	0	1	0	0	0	0	0
896099	2010	8	2010.583333	20.583333	0	0	0	0	0	0	1	0	0	0	0
782489	2010	9	2010.666667	20.666667	0	0	0	0	0	0	0	1	0	0	0
827632	2010	10	2010.75	20.750000	0	0	0	0	0	0	0	0	1	0	0
779281	2010	11	2010.833333	20.833333	0	0	0	0	0	0	0	0	0	1	0
793400	2010	12	2010.916667	20.916667	0	0	0	0	0	0	0	0	0	0	1
693666	2011	1	2011	21	0	0	0	0	0	0	0	0	0	0	0
644857	2011	2	2011.083333	21.083333	1	0	0	0	0	0	0	0	0	0	0
750768	2011	3	2011.166667	21.166667	0	1	0	0	0	0	0	0	0	0	0
719894	2011	4	2011.25	21.250000	0	0	1	0	0	0	0	0	0	0	0
775434	2011	5	2011.333333	21.333333	0	0	0	1	0	0	0	0	0	0	0
819418	2011	6	2011.416667	21.416667	0	0	0	0	1	0	0	0	0	0	0
835282	2011	7	2011.5	21.500000	0	0	0	0	0	1	0	0	0	0	0
855290	2011	8	2011.583333	21.583333	0	0	0	0	0	0	1	0	0	0	0
764110	2011	9	2011.666667	21.666667	0	0	0	0	0	0	0	1	0	0	0
795824	2011	10	2011.75	21.750000	0	0	0	0	0	0	0	0	1	0	0
797859	2011	11	2011.833333	21.833333	0	0	0	0	0	0	0	0	0	1	0
814168	2011	12	2011.916667	21.916667	0	0	0	0	0	0	0	0	0	0	1
711662	2012	1	2012	22	0	0	0	0	0	0	0	0	0	0	0
686517	2012	2	2012.083333	22.083333	1	0	0	0	0	0	0	0	0	0	0
801123	2012	3	2012.166667	22.166667	0	1	0	0	0	0	0	0	0	0	0
827046	2012	4	2012.25	22.250000	0	0	1	0	0	0	0	0	0	0	0
859667	2012	5	2012.333333	22.333333	0	0	0	1	0	0	0	0	0	0	0
895007	2012	6	2012.416667	22.416667	0	0	0	0	1	0	0	0	0	0	0
960283	2012	7	2012.5	22.500000	0	0	0	0	0	1	0	0	0	0	0
969898	2012	8	2012.583333	22.583333	0	0	0	0	0	0	1	0	0	0	0
822852	2012	9	2012.666667	22.666667	0	0	0	0	0	0	0	1	0	0	0
856253	2012	10	2012.75	22.750000	0	0	0	0	0	0	0	0	1	0	0
838196	2012	11	2012.833333	22.833333	0	0	0	0	0	0	0	0	0	1	0
812360	2012	12	2012.916667	22.916667	0	0	0	0	0	0	0	0	0	0	1
710618	2013	1	2013	23	0	0	0	0	0	0	0	0	0	0	0
666616	2013	2	2013.083333	23.083333	1	0	0	0	0	0	0	0	0	0	0
804197	2013	3	2013.166667	23.166667	0	1	0	0	0	0	0	0	0	0	0
795111	2013	4	2013.25	23.250000	0	0	1	0	0	0	0	0	0	0	0
847446	2013	5	2013.333333	23.333333	0	0	0	1	0	0	0	0	0	0	0
867026	2013	6	2013.416667	23.416667	0	0	0	0	1	0	0	0	0	0	0
920206	2013	7	2013.5	23.500000	0	0	0	0	0	1	0	0	0	0	0
900761	2013	8	2013.583333	23.583333	0	0	0	0	0	0	1	0	0	0	0
782027	2013	9	2013.666667	23.666667	0	0	0	0	0	0	0	1	0	0	0
810720	2013	10	2013.75	23.750000	0	0	0	0	0	0	0	0	1	0	0
782489	2013	11	2013.833333	23.833333	0	0	0	0	0	0	0	0	0	1	0
855760	2013	12	2013.916667	23.916667	0	0	0	0	0	0	0	0	0	0	1
723607	2014	1	2014	24	0	0	0	0	0	0	0	0	0	0	0
688889	2014	2	2014.083333	24.083333	1	0	0	0	0	0	0	0	0	0	0
815634	2014	3	2014.166667	24.166667	0	1	0	0	0	0	0	0	0	0	0
805572	2014	4	2014.25	24.250000	0	0	1	0	0	0	0	0	0	0	0
857766	2014	5	2014.333333	24.333333	0	0	0	1	0	0	0	0	0	0	0
946930	2014	6	2014.416667	24.416667	0	0	0	0	1	0	0	0	0	0	0
1000013	2014	7	2014.5	24.500000	0	0	0	0	0	1	0	0	0	0	0
990299	2014	8	2014.583333	24.583333	0	0	0	0	0	0	1	0	0	0	0
857798	2014	9	2014.666667	24.666667	0	0	0	0	0	0	0	1	0	0	0
887274	2014	10	2014.75	24.750000	0	0	0	0	0	0	0	0	1	0	0
849223	2014	11	2014.833333	24.833333	0	0	0	0	0	0	0	0	0	1	0
913783	2014	12	2014.916667	24.916667	0	0	0	0	0	0	0	0	0	0	1
775420	2015	1	2015	25	0	0	0	0	0	0	0	0	0	0	0
730874	2015	2	2015.083333	25.083333	1	0	0	0	0	0	0	0	0	0	0
885378	2015	3	2015.166667	25.166667	0	1	0	0	0	0	0	0	0	0	0
905048	2015	4	2015.25	25.250000	0	0	1	0	0	0	0	0	0	0	0
946161	2015	5	2015.333333	25.333333	0	0	0	1	0	0	0	0	0	0	0
1013285	2015	6	2015.416667	25.416667	0	0	0	0	1	0	0	0	0	0	0
1067398	2015	7	2015.5	25.500000	0	0	0	0	0	1	0	0	0	0	0
1044556	2015	8	2015.583333	25.583333	0	0	0	0	0	0	1	0	0	0	0
928666	2015	9	2015.666667	25.666667	0	0	0	0	0	0	0	1	0	0	0
984557	2015	10	2015.75	25.750000	0	0	0	0	0	0	0	0	1	0	0
951385	2015	11	2015.833333	25.833333	0	0	0	0	0	0	0	0	0	1	0
972335	2015	12	2015.916667	25.916667	0	0	0	0	0	0	0	0	0	0	1
843073	2016	1	2016	26	0	0	0	0	0	0	0	0	0	0	0
805109	2016	2	2016.083333	26.083333	1	0	0	0	0	0	0	0	0	0	0
962258	2016	3	2016.166667	26.166667	0	1	0	0	0	0	0	0	0	0	0
941248	2016	4	2016.25	26.250000	0	0	1	0	0	0	0	0	0	0	0
1000752	2016	5	2016.333333	26.333333	0	0	0	1	0	0	0	0	0	0	0
1113508	2016	6	2016.416667	26.416667	0	0	0	0	1	0	0	0	0	0	0
